employee_id,name,department,city,salary,age,experience_years,bonus_percent,performance_score,employment_date,remote
1,Alex,IT,Moscow,120000.0,25.0,1,10.0,A,2021-02-01,Yes
2,John,HR,SPB,80000.0,32.0,5,15.0,B,2021-03-01,No
3,Anna,Finance,Kazan,95000.0,29.0,3,,A,2021-04-01,Yes
4,Mike,IT,Moscow,110000.0,41.0,10,20.0,A,2021-05-01,Yes
5,Sara,Marketing,SPB,70000.0,24.0,1,5.0,C,2021-06-01,No
6,Tom,Finance,Kazan,,36.0,7,12.0,B,2021-07-01,No
7,Kate,HR,Moscow,85000.0,28.0,2,8.0,B,2021-08-01,Yes
8,Bob,IT,SPB,130000.0,45.0,15,25.0,A,2021-09-01,No
9,Lisa,Marketing,Kazan,72000.0,27.0,2,,C,2021-10-01,Yes
10,David,Finance,Moscow,105000.0,38.0,8,18.0,B,2021-11-01,No
11,Alex,IT,Moscow,120000.0,25.0,1,10.0,A,2021-12-01,Yes
12,John,HR,SPB,80000.0,32.0,5,15.0,B,2022-01-01,No
13,Anna,Finance,,95000.0,29.0,3,,A,2022-02-01,Yes
14,Mike,IT,Moscow,110000.0,41.0,10,20.0,A,2022-03-01,Yes
15,Sara,Marketing,SPB,70000.0,24.0,1,5.0,C,2022-04-01,No
16,Tom,Finance,Kazan,99000.0,36.0,7,12.0,B,2022-05-01,No
17,Kate,HR,Moscow,85000.0,28.0,2,8.0,B,2022-06-01,Yes
18,Bob,IT,SPB,130000.0,45.0,15,25.0,A,2022-07-01,No
19,Lisa,Marketing,Kazan,72000.0,27.0,2,,C,2022-08-01,Yes
20,David,Finance,Moscow,105000.0,38.0,8,18.0,B,2022-09-01,No
21,Alex,IT,Moscow,120000.0,,1,10.0,A,2022-10-01,Yes
22,John,HR,SPB,80000.0,32.0,5,15.0,B,2022-11-01,No
23,Anna,Finance,Kazan,95000.0,29.0,3,,A,2022-12-01,Yes
24,Mike,IT,Moscow,110000.0,41.0,10,20.0,A,2023-01-01,Yes
25,Sara,Marketing,SPB,70000.0,24.0,1,5.0,C,2023-02-01,No
26,Tom,Finance,Kazan,99000.0,36.0,7,12.0,B,2023-03-01,No
27,Kate,HR,Moscow,85000.0,28.0,2,8.0,B,2023-04-01,Yes
28,Bob,IT,SPB,130000.0,45.0,15,25.0,A,2023-05-01,No
29,Lisa,Marketing,Kazan,72000.0,27.0,2,,C,2023-06-01,Yes
30,David,Finance,Moscow,105000.0,38.0,8,18.0,B,2023-07-01,No
31,Alex,IT,Moscow,120000.0,25.0,1,10.0,A,2023-08-01,Yes
32,John,HR,SPB,80000.0,32.0,5,15.0,B,2023-09-01,No
33,Anna,Finance,Kazan,95000.0,29.0,3,,A,2023-10-01,Yes
34,Mike,IT,Moscow,110000.0,41.0,10,20.0,A,2023-11-01,Yes
35,Sara,Marketing,SPB,70000.0,24.0,1,5.0,C,2023-12-01,No
36,Tom,Finance,Kazan,99000.0,36.0,7,12.0,B,2024-01-01,No
37,Kate,HR,Moscow,85000.0,28.0,2,8.0,B,2024-02-01,Yes
38,Bob,IT,SPB,130000.0,45.0,15,25.0,A,2024-03-01,No
39,Lisa,Marketing,Kazan,72000.0,27.0,2,,C,2024-04-01,Yes
40,David,Finance,Moscow,105000.0,38.0,8,18.0,B,2024-05-01,No
